sku,type,variant key,Product name,Product description,Product key,category,Product price mode,brand,Premium Wet Pet Food,Premium Dry Pet Food,weight,price EUR,price PLN, price GBP,url
K-F-WF-BL1,KFW007,"pet-food",cat_food_wet,Blink! Adult Cat Wet Food Chicken In Jelly 40x85g,cat_food_wet_007,Cat>Food>Wet Food,Blink!,3.4,"EUR",48,"PLN",205,"GBP",41,cat_food_wet7
K-F-WF-PP1,KFW008,"pet-food",cat_food_wet,Pro Plan Vet Diet NF Care Renal Function Wet Senior Cat Food,cat_food_wet_008,Cat>Food>Wet Food,Pro Plan,0.85,"EUR",48,"PLN",60,"GBP",12,cat_food_wet8
K-F-WF-AVA1,KFW009,"pet-food",cat_food_wet,AVA Optimum Health Wet Adult Cat Food Chicken In Gravy 80x85g,cat_food_wet_009,Cat>Food>Wet Food,AVA,6.8,"EUR",45,"PLN",190,"GBP",38,cat_food_wet9
K-F-WF-HL1,KFW010,"pet-food",cat_food_wet,Hill's Science Plan Light Adult Cat Wet Food Chicken & Ocean Fish 48x85g,cat_food_wet_010,Cat>Food>Wet Food,Hill's,4.08,"EUR",45,"PLN",190,"GBP",38,cat_food_wet9

K-T-DT-LL1,KTT001,pet-treats,cat_treats,Webbox Lick-e-Lix Cat Treat Chicken and Zinc 5x15g,cat_treats_001,Cat > treats,Lick-e-Lix,0.075,"EUR",4,"PLN",10,"GBP",2,cat_treats1
K-T-DT-LL2,KTT002,pet-treats,cat_treats,Webbox Lick-e-Lix Yoghurt Salmon Sachets Cat Treat 5 x 15g,cat_treats_002,Cat > treats,Lick-e-Lix,0.075,"EUR",4,"PLN",10,"GBP",2,cat_treats2
K-T-DT-LL3,KTT003,pet-treats,cat_treats,Webbox Lick-e-Lix Cat Treats Liver and Cat Grass 75g,cat_treats_003,Cat > treats,Lick-e-Lix,0.075,"EUR",4,"PLN",10,"GBP",2,cat_treats3
K-T-DT-LL4,KTT004,pet-treats,cat_treats,Webbox Lick-e-Lix Cat Treats Cheese and Taurine 75g,cat_treats_004,Cat > treats,Lick-e-Lix,0.075,"EUR",4,"PLN",10,"GBP",2,cat_treats4
K-T-DT-PK1,KTT005,pet-treats,cat_treats,Pickle's Kitten Treat with Chicken & Yoghurt 65g,cat_treats_005,Cat > treats,Pickle's Kitten,0.065,"EUR",1,"PLN",5,"GBP",1,cat_treats5
K-T-DT-PK2,KTT006,pet-treats,cat_treats,Pickle's Crunchy Filled Cat Treats Salmon 350g,cat_treats_006,Cat > treats,Pickle's Kitten,0.35,"EUR",5,"PLN",20,"GBP",4,cat_treats6
